date,reportedEPS
2025-04-30,2.29
2025-01-31,2.29
2024-10-31,2.17
2024-07-31,2.15
2024-04-30,1.87
2024-01-31,2.09
2023-10-31,2.07
2023-07-31,1.91
2023-04-30,1.55
2023-01-31,1.86
2022-10-31,1.7
2022-07-31,1.65
2022-04-30,1.43
2022-01-31,1.5
2021-10-31,1.33
2021-07-31,1.21
2021-04-30,1.03
2021-01-31,1.18
2020-10-31,1.04
2020-07-31,0.98
2020-04-30,0.85
2020-01-31,0.92
2019-10-31,0.78
2019-07-31,0.65
2019-04-30,0.45
2019-01-31,0.46
2018-10-31,0.29
2018-07-31,0.19
2018-04-30,0.06
2018-01-31,-0.09
2017-10-31,-0.12
2017-07-31,-0.11
2017-04-30,-0.16
2017-01-31,-0.28
2016-10-31,-0.18
2016-07-31,0.05
2016-04-30,-0.1
2016-01-31,0.21
2015-10-31,0.14
2015-07-31,0.19
2015-04-30,0.3
2015-01-31,0.25
2014-10-31,0.25
2014-07-31,0.35
2014-04-30,0.32
2014-01-31,0.4
2013-10-31,0.41
2013-07-31,0.45
2013-04-30,0.42
2013-01-31,0.53
2012-10-31,0.47
2012-07-31,0.48
2012-04-30,0.47
2012-01-31,0.46
2011-10-31,0.44
2011-07-31,0.44
2011-04-30,0.4
2011-01-31,0.35
2010-10-31,0.32
2010-07-31,0.36
2010-04-30,0.29
2010-01-31,0.3
