date,reportedEPS
2025-03-31,0.96
2024-12-31,1.09
2024-09-30,0.92
2024-06-30,0.69
2024-03-31,0.62
2023-12-31,0.77
2023-09-30,0.7
2023-06-30,0.58
2023-03-31,0.6
2022-12-31,0.69
2022-09-30,0.67
2022-06-30,1.05
2022-03-31,1.13
2021-12-31,0.92
2021-09-30,0.73
2021-06-30,0.63
2021-03-31,0.52
2020-12-31,0.52
2020-09-30,0.41
2020-06-30,0.18
2020-03-31,0.18
2019-12-31,0.32
2019-09-30,0.18
2019-06-30,0.08
2019-03-31,0.06
2018-12-31,0.08
2018-09-30,0.13
2018-06-30,0.14
2018-03-31,0.11
2017-12-31,0.08
2017-09-30,0.1
2017-06-30,0.02
2017-03-31,-0.04
2016-12-31,-0.01
2016-09-30,0.03
2016-06-30,-0.05
2016-03-31,-0.12
2015-12-31,-0.1
2015-09-30,-0.17
2015-06-30,-0.17
2015-03-31,-0.09
2014-12-31,-0.09
2014-09-30,0.03
2014-06-30,0.02
2014-03-31,0.02
2013-12-31,0.06
2013-09-30,0.04
2013-06-30,-0.09
2013-03-31,-0.13
2012-12-31,-0.14
2012-09-30,-0.2
2012-06-30,0.06
2012-03-31,0.12
