date,reportedEPS
2025-06-30,5.9
2025-03-31,6
2024-12-31,6.84
2024-09-30,5.28
2024-06-30,4.01
2024-03-31,3.11
2023-12-31,5.21
2023-09-30,4.81
2023-06-30,4.93
2023-03-31,4.96
2022-12-31,4.7
2022-09-30,4.32
2022-06-30,3.77
2022-03-31,1.94
2021-12-31,5.01
2021-09-30,5.02
2021-06-30,3.04
2021-03-31,3.86
2020-12-31,3.85
2020-09-30,2.96
2020-06-30,1.97
2020-03-31,1.03
2019-12-31,2.98
2019-09-30,1.66
2019-06-30,1.27
2019-03-31,0.99
2018-12-31,2.19
2018-09-30,1.86
2018-06-30,1.63
2018-03-31,1.55
2017-12-31,1.76
2017-09-30,1.52
2017-06-30,1.18
2017-03-31,1.12
2016-12-31,1.35
2016-09-30,1.04
2016-06-30,0.94
2016-03-31,0.51
2015-12-31,0.74
2015-09-30,0.83
2015-06-30,0.95
2015-03-31,1.17
2014-12-31,0.87
2014-09-30,0.74
2014-06-30,1.23
2014-03-31,0.76
2013-12-31,1.47
2013-09-30,0.57
2013-06-30,0.67
2013-03-31,0.3
2012-12-31,0.52
2012-09-30,1.05
2012-06-30,1.18
2012-03-31,1.16
2011-12-31,1.19
2011-09-30,1.55
2011-06-30,1.87
2011-03-31,1.6
2010-12-31,1.64
2010-09-30,1.01
2010-06-30,0.91
2010-03-31,0.45
