date,reportedEPS
2025-04-30,1.58
2025-01-31,1.6
2024-10-31,1.42
2024-07-31,1.24
2024-04-30,1.096
2024-01-31,1.099
2023-10-31,1.106
2023-07-31,1.054
2023-04-30,1.032
2023-01-31,1.033
2022-10-31,1.045
2022-07-31,0.973
2022-04-30,0.907
2022-01-31,0.839
2021-10-31,0.781
2021-07-31,0.696
2021-04-30,0.662
2021-01-31,0.661
2020-10-31,0.635
2020-07-31,0.54
2020-04-30,0.514
2020-01-31,0.525
2019-10-31,0.539
2019-07-31,0.516
2019-04-30,0.521
2019-01-31,0.555
2018-10-31,0.585
2018-07-31,0.498
2018-04-30,0.488
2018-01-31,0.512
2017-10-31,0.459
2017-07-31,0.41
2017-04-30,0.369
2017-01-31,0.363
2016-10-31,0.347
2016-07-31,0.289
2016-04-30,0.253
2016-01-31,0.241
2015-10-31,0.251
2015-07-31,0.224
2015-04-30,0.213
2015-01-31,0.209
2014-10-31,0.199
2014-07-31,0.126
2014-04-30,0.085
2014-01-31,0.084
2013-10-31,0.089
2013-07-31,0.067
2013-04-30,0.054
2013-01-31,0.058
2012-10-31,0.071
2012-07-31,0.066
2012-04-30,0.061
2012-01-31,0.057
