date,reportedEPS
2025-04-30,0.62
2025-01-31,0.6
2024-10-31,0.43
2024-07-31,0.3
2024-04-30,0.24
2024-01-31,0.46
2023-10-31,0.41
2023-07-31,0.33
2023-04-30,0.31
2023-01-31,0.46
2022-10-31,0.57
2022-07-31,0.57
2022-04-30,0.52
2022-01-31,0.5
2021-10-31,0.43
2021-07-31,0.34
2021-04-30,0.29
2021-01-31,0.29
2020-10-31,0.25
2020-07-31,0.21
2020-04-30,0.18
2020-01-31,0.17
2019-10-31,0.17
2019-07-31,0.16
2019-04-30,0.16
2019-01-31,0.25
2018-10-31,0.33
2018-07-31,0.28
2018-04-30,0.32
2018-01-31,0.32
2017-10-31,0.34
2017-07-31,0.3
2017-04-30,0.24
2017-01-31,0.22
2016-10-31,0.2
2016-07-31,0.18
2016-04-30,0.01
2016-01-31,0.11
2015-10-31,0.05
2015-07-31,0.12
2015-04-30,0.13
2015-01-31,0.25
2014-10-31,0.29
2014-07-31,0.34
2014-04-30,0.27
2014-01-31,0.29
2013-10-31,0.32
2013-07-31,0.23
2013-04-30,0.19
2013-01-31,0.19
2012-10-31,0.2
2012-07-31,0.24
2012-04-30,0.23
2012-01-31,0.21
2011-10-31,0.4
2011-07-31,0.38
2011-04-30,0.29
2011-01-31,0.4
2010-10-31,0.45
2010-07-31,0.4
2010-04-30,0.38
2010-01-31,0.4
