date,reportedEPS
2025-05-31,1.91
2025-02-28,1.56
2024-11-30,1.79
2024-08-31,1.18
2024-05-31,0.62
2024-02-29,0.42
2023-11-30,-0.95
2023-08-31,-1.07
2023-05-31,-1.43
2023-02-28,-1.91
2022-11-30,-0.04
2022-08-31,1.45
2022-05-31,2.59
2022-02-28,2.14
2021-11-30,2.16
2021-08-31,2.42
2021-05-31,1.88
2021-02-28,0.98
2020-11-30,0.78
2020-08-31,1.08
2020-05-31,0.82
2020-02-29,0.45
2019-11-30,0.48
2019-08-31,0.56
2019-05-31,1.05
2019-02-28,1.71
2018-11-30,2.97
2018-08-31,3.53
2018-05-31,3.15
2018-02-28,2.82
2017-11-30,2.45
2017-08-31,2.02
2017-05-31,1.62
2017-02-28,0.9
2016-11-30,0.32
2016-08-31,-0.05
2016-05-31,-0.08
2016-02-29,-0.05
2015-11-30,0.24
2015-08-31,0.37
2015-05-31,0.54
2015-02-28,0.81
2014-11-30,0.97
2014-08-31,0.82
2014-05-31,0.79
2014-02-28,0.85
2013-11-30,0.72
2013-08-31,0.2
2013-05-31,0.04
2013-02-28,-0.28
2012-11-30,-0.27
2012-08-31,-0.24
2012-05-31,-0.32
2012-02-29,-0.29
2011-11-30,-0.19
2011-08-31,-0.14
2011-05-31,0.07
2011-02-28,0.07
2010-11-30,0.15
2010-08-31,0.32
2010-05-31,0.45
2010-02-28,0.39
