date,reportedEPS
2025-03-31,2.85
2024-12-31,3.41
2024-09-30,2.69
2024-06-30,2.33
2024-03-31,2.44
2023-12-31,2.75
2023-09-30,2.02
2023-06-30,1.87
2023-03-31,2.15
2022-12-31,2.37
2022-09-30,3.13
2022-06-30,2.96
2022-03-31,3.21
2021-12-31,3.23
2021-09-30,2.55
2021-06-30,1.92
2021-03-31,1.9
2020-12-31,2.17
2020-09-30,1.45
2020-06-30,0.86
2020-03-31,0.88
2019-12-31,0.99
2019-09-30,0.78
2019-06-30,0.8
2019-03-31,0.77
2018-12-31,1.2
2018-09-30,0.9
2018-06-30,0.75
2018-03-31,0.8
2017-12-31,0.98
2017-09-30,0.92
2017-06-30,0.83
2017-03-31,1.34
2016-12-31,1.19
2016-09-30,1.28
2016-06-30,1.16
2016-03-31,1.04
2015-12-31,0.97
2015-09-30,0.91
2015-06-30,0.99
2015-03-31,1.4
2014-12-31,1.34
2014-09-30,1.26
2014-06-30,1.44
2014-03-31,1.31
2013-12-31,1.01
2013-09-30,1.05
2013-06-30,1.03
2013-03-31,1.17
2012-12-31,1.26
2012-09-30,0.89
2012-06-30,0.85
2012-03-31,1.01
2011-12-31,0.97
2011-09-30,0.8
2011-06-30,0.73
2011-03-31,0.86
2010-12-31,0.82
2010-09-30,0.68
2010-06-30,0.57
2010-03-31,0.59
