Date,Stocks
2025_q2,"ADSK, AVGO, MU"
2025_q1,"AVGO, NVDA, ADSK"
2024_q4,"AVGO, NVDA, QCOM"
2024_q3,"QCOM, NVDA, AVGO"
2024_q2,"NVDA, AVGO, QCOM"
2024_q1,"NVDA, ASML, AVGO"
2023_q4,"AVGO, NVDA, QCOM"
2023_q3,"AVGO, NVDA, AMD"
2023_q2,"ASML, AMD, AVGO"
2023_q1,"ASML, AVGO, QCOM"
2022_q4,"ASML, QCOM, AVGO"
2022_q3,"QCOM, AVGO, ADSK"
2022_q2,"QCOM, MU, MRVL"
2022_q1,"QCOM, MU, AMD"
2021_q4,"ASML, NVDA, AMD"
2021_q3,"ASML, NVDA, AMD"
2021_q2,"ASML, AVGO, MRVL"
2021_q1,"ASML, MU, QCOM"
2020_q4,"QCOM, AMD, ASML"
2020_q3,"QCOM, ASML, AMD"
2020_q2,"ASML, ADSK, NVDA"
2020_q1,"ADSK, ASML, AMD"
2019_q4,"ASML, QCOM, AMD"
2019_q3,"ASML, QCOM, AVGO"
2019_q2,"AVGO, AMD, QCOM"
2019_q1,"AVGO, ADSK, ASML"
2018_q4,"MU, AMD, QCOM"
2018_q3,"MU, QCOM, AMD"
2018_q2,"MU, ASML, MRVL"
2018_q1,"MU, ASML, NVDA"
2017_q4,"MU, ASML, NVDA"
2017_q3,"MU, NVDA, ASML"
2017_q2,"MU, NVDA, AVGO"
2017_q1,"MU, NVDA, AMD"
2016_q4,"AMD, AVGO, NVDA"
2016_q3,"QCOM, AVGO, AMD"
2016_q2,"AVGO, NVDA, ASML"
2016_q1,"AVGO, ASML, NVDA"
2015_q4,"AVGO, NVDA, ASML"
2015_q3,"AVGO, ASML, NVDA"
2015_q2,"AVGO, NVDA, ASML"
2015_q1,"AVGO, MU, ASML"
2014_q4,"MU, AVGO, ASML"
2014_q3,"MU, AVGO, QCOM"
2014_q2,"MU, QCOM, AVGO"
2014_q1,"MU, QCOM, MRVL"
2013_q4,"MU, ASML, QCOM"
2013_q3,"MU, QCOM, ASML"
2013_q2,"QCOM, MU, ASML"
2013_q1,"QCOM, ADSK, ASML"
